Vendor Code,lat,lon
V1014617,1.357107,103.8194992
V1014623,1.357107,103.8194992
V1014635,1.357107,103.8194992
V1014636,1.357107,103.8194992
V1014637,1.2811486,103.86496
V1014640,1.357107,103.8194992
V1014652,1.357107,103.8194992
V1014661,1.357107,103.8194992
V1014671,1.357107,103.8194992
V1014680,1.357107,103.8194992
V1014681,1.357107,103.8194992
V1014689,1.357107,103.8194992
V1014693,1.357107,103.8194992
V1014707,1.357107,103.8194992
V1014714,1.357107,103.8194992
V1014724,1.357107,103.8194992
V1014730,1.357107,103.8194992
V1014731,1.357107,103.8194992
V1014736,1.357107,103.8194992
V1014737,1.357107,103.8194992
V1014739,1.357107,103.8194992
V1014740,1.357107,103.8194992
V1014741,1.357107,103.8194992
V1014742,1.357107,103.8194992
V1014745,1.357107,103.8194992
V1014746,1.357107,103.8194992
V1014749,1.357107,103.8194992
V1014752,1.357107,103.8194992
V1014755,1.357107,103.8194992
V1014763,1.357107,103.8194992
V1014770,1.357107,103.8194992
V1014773,1.2736987,103.8450758
V1014872,1.357107,103.8194992
V1014963,1.357107,103.8194992
V1014964,1.357107,103.8194992
V1014966,1.357107,103.8194992
V1014968,1.357107,103.8194992
V1014970,1.357107,103.8194992
V1014973,1.357107,103.8194992
V1014975,1.357107,103.8194992
V1014977,1.357107,103.8194992
V1014978,1.357107,103.8194992
V1014982,1.357107,103.8194992
V1014983,1.357107,103.8194992
V1014990,1.357107,103.8194992
V1014991,1.357107,103.8194992
V1014999,1.357107,103.8194992
V1015000,1.357107,103.8194992
V1015001,1.357107,103.8194992
V1015002,1.357107,103.8194992
V1015003,1.357107,103.8194992
V1015004,1.357107,103.8194992
V1015009,1.357107,103.8194992
V1015010,1.357107,103.8194992
V1015011,1.357107,103.8194992
V1015014,1.357107,103.8194992
V1015015,1.357107,103.8194992
V1015017,1.357107,103.8194992
V1015024,1.357107,103.8194992
V1015025,1.357107,103.8194992
V1015026,1.357107,103.8194992
V1015027,1.357107,103.8194992
V1015028,1.357107,103.8194992
V1015029,1.357107,103.8194992
V1015032,1.357107,103.8194992
V1015034,1.357107,103.8194992
V1015037,1.357107,103.8194992
V1015038,1.357107,103.8194992
V1015041,1.357107,103.8194992
V1015042,1.357107,103.8194992
V1015044,1.357107,103.8194992
V1015047,1.357107,103.8194992
V1015048,1.357107,103.8194992
V1015049,1.357107,103.8194992
V1015050,1.357107,103.8194992
V1015051,1.357107,103.8194992
V1015052,1.357107,103.8194992
V1015055,1.357107,103.8194992
V1015057,1.357107,103.8194992
V1015060,1.357107,103.8194992
V1015066,1.357107,103.8194992
V1015067,1.357107,103.8194992
V1015071,1.357107,103.8194992
V1015074,1.357107,103.8194992
V1015075,1.357107,103.8194992
V1015076,1.357107,103.8194992
V1015079,1.357107,103.8194992
V1015080,1.357107,103.8194992
V1015082,1.357107,103.8194992
V1015087,1.357107,103.8194992
V1015091,1.357107,103.8194992
V1015093,1.357107,103.8194992
V1015094,1.357107,103.8194992
V1015095,1.357107,103.8194992
V1015099,1.357107,103.8194992
V1015102,1.357107,103.8194992
V1015105,1.357107,103.8194992
V1015106,1.357107,103.8194992
V1015107,1.357107,103.8194992
V1015110,1.357107,103.8194992
V1015111,1.357107,103.8194992
V1015112,1.357107,103.8194992
V1015119,1.357107,103.8194992
V1015124,1.357107,103.8194992
V1015126,1.357107,103.8194992
V1015128,1.357107,103.8194992
V1015129,1.357107,103.8194992
V1015131,1.357107,103.8194992
V1015133,1.357107,103.8194992
V1015136,1.357107,103.8194992
V1015140,1.357107,103.8194992
V1015144,1.357107,103.8194992
V1015146,1.357107,103.8194992
V1015148,1.357107,103.8194992
V1015149,1.357107,103.8194992
V1015150,1.357107,103.8194992
V1015151,1.357107,103.8194992
V1015156,1.357107,103.8194992
V1015157,1.357107,103.8194992
V1015160,1.357107,103.8194992
V1015161,1.357107,103.8194992
V1015162,1.357107,103.8194992
V1015163,1.357107,103.8194992
V1015166,1.357107,103.8194992
V1015167,1.357107,103.8194992
V1015168,1.357107,103.8194992
V1015169,1.357107,103.8194992
V1015174,1.357107,103.8194992
V1015176,1.357107,103.8194992
V1015180,1.357107,103.8194992
V1015181,1.357107,103.8194992
V1015182,1.357107,103.8194992
V1015183,1.357107,103.8194992
V1015184,1.357107,103.8194992
V1015195,1.357107,103.8194992
V1015196,1.357107,103.8194992
V1015200,1.357107,103.8194992
V1015201,1.357107,103.8194992
V1015202,1.357107,103.8194992
V1015205,1.357107,103.8194992
V1015206,1.357107,103.8194992
V1015209,1.357107,103.8194992
V1015210,1.357107,103.8194992
V1015216,1.357107,103.8194992
V1015217,1.357107,103.8194992
V1015218,1.357107,103.8194992
V1015224,1.357107,103.8194992
V1015226,1.357107,103.8194992
V1015230,1.357107,103.8194992
V1015234,1.357107,103.8194992
V1015235,1.357107,103.8194992
V1015237,1.357107,103.8194992
V1015246,1.357107,103.8194992
V1015247,1.357107,103.8194992
V1015251,1.357107,103.8194992
V1015252,1.357107,103.8194992
V2000122,46.7985624,8.2319736
V2000609,23.5983227,120.8353769
V2001966,48.2260185,13.0268424
V2002012,39.7837304,-100.445882
V2002013,48.7411522,19.4528646
V2002267,39.7837304,-100.445882
V2002301,35.0000663,104.999955
V2002315,42.9549795,9.4156194
V2002371,39.7837304,-100.445882
V2002375,14.8971921,100.83273
V2002419,35.0000663,104.999955
V2002421,35.0000663,104.999955
V2002429,35.0000663,104.999955
V2002433,64.5731537,11.5280364
V2002440,51.1638175,10.4478313
V2002443,35.0000663,104.999955
V2002473,-10.3333333,-53.2
V2002580,46.7985624,8.2319736
V3100041,1.357107,103.8194992
